                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7886,                 4.6237,                 2.6274,                0.00073,                 0.0625,                0.00107,                0.00018,                 2.3726,                 4.3154,                  2.341,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.6902,                 4.5887,                 2.5604,                0.00093,                0.08594,                 0.0009,                0.00015,                  2.228,                 4.3393,                 2.2271,               0.069973,              0.0029733,              0.0029733
                      3,                 2.6016,                 4.4356,                 2.4619,                0.00094,                0.08594,                0.00057,                0.00015,                 2.2981,                 4.2439,                 2.2364,                0.05401,                0.00401,                0.00401
                      4,                 2.5797,                 4.4253,                 2.3808,                0.00108,                0.10156,                0.00099,                0.00024,                 2.3432,                 4.1952,                 2.1891,                0.03771,              0.0047101,              0.0047101
                      5,                 2.5418,                  4.351,                 2.2981,                0.00102,                0.11094,                0.00087,                0.00024,                  2.324,                  4.194,                  2.156,               0.021074,              0.0050736,              0.0050736
                      6,                 2.5925,                 4.3092,                 2.3323,                0.00199,                0.21406,                0.00188,                0.00047,                 2.2904,                    4.1,                 2.0379,                0.00505,                0.00505,                0.00505
                      7,                 2.4437,                 4.2056,                 2.2445,                0.00189,                0.18906,                0.00181,                0.00057,                 2.3245,                 4.0848,                 2.0774,                0.00505,                0.00505,                0.00505
                      8,                 2.5578,                 4.3496,                 2.2993,                 0.0028,                0.29219,                0.00404,                0.00093,                 2.2423,                 3.9527,                 1.9601,                0.00406,                0.00406,                0.00406
                      9,                 2.4962,                 4.1735,                 2.2552,                0.00316,                0.33125,                 0.0057,                0.00153,                 2.2476,                 3.9663,                 1.9789,                0.00307,                0.00307,                0.00307
                     10,                 2.4269,                 4.1402,                 2.2127,                0.00382,                0.44531,                0.01652,                0.00434,                 2.3123,                 3.9151,                 2.0119,                0.00208,                0.00208,                0.00208
